title,author,price,publisher,page_count,generes,ISBN
10 Ways to be annoying,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,17,General,9781530000000 
Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,200,"Fiction , General",9780330000000 
The Guardians: A Novel,John Grisham,71.63,Doubleday,384,"Fiction , Thrillers , Crime",9780390000000 
Final Option,Clive Cussler,71.63,Penguin,400,"Fiction , Thrillers , Suspense",9780530000000 
Rogues,George R. R. Martin,52.54,Bantam,832,General,9780800000000 
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,62.1,Random House,416,"Business , Economics , Organizational Behavior",9780680000000 
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,43.28,Hachette UK,400,"Fiction , Fantasy , Action , Adventure",9781470000000 
Watching (The Making of Riley PaigeBook 1),Blake Pierce,0,Blake Pierce,250,General,9781640000000 
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,720,"Fiction , Action , Adventure",9780550000000 
The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,208,"Fiction , Thrillers , Military",9780010000000 
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,66.91,Marvel Entertainment,160,"Comics , Graphic Novels , Superheroes",9781300000000 
Mrs. Pollifax Unveiled,Dorothy Gilman,31.46,Ballantine Books,208,"Fiction , Mystery , Detective , Women Sleuths",9780350000000 
Blue Moon: A Jack Reacher Novel,Lee Child,71.63,Dell,368,General,9780400000000 
A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,39.34,Bantam,1040,"Fiction , Action , Adventure",9780550000000 
Home Work: A Memoir of My Hollywood Years,Julie Andrews,98.42,Hachette UK,352,General,9781470000000 
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,28.54,HarperCollins UK,544,General,9780010000000 
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,32.36,AMACOM,240,"Business , Economics , Conflict Resolution , Mediation",9780810000000 
Green Lantern: Secret Origin,Geoff Johns,59.03,DC,194,General,9781400000000 
How to Win Friends and Influence People,Dale Carnegie,55.47,Random House,304,"Psychology , General",9781410000000 
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,576,"Philosophy , General",9781470000000 
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,0,Simon and Schuster,1400,"Fiction , Classics",9781480000000 
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,592,"Business , Economics , General",9781420000000 
And Then There Were General,Agatha Christie,32.1,HarperCollins UK,224,"Fiction , Classics",9780010000000 
